country,title,source,published,negative,neutral,positive,compound,sentiment_label,date
China,"[Latest] Global Specialty Chemicals Market Size/Share Worth USD 1497 Billion by 2035 at a 5.2% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)",GlobeNewswire,2026-05-26 11:30:00+00:00,0.019,0.819,0.163,0.8625,POSITIVE,2026-05-26
China,"Sensex today | Stock Market Highlights: Sensex falls 479 points, Nifty slips below 23,950 as rupee weakens",BusinessLine,2026-05-26 11:00:09+00:00,0.199,0.683,0.118,-0.6808,NEGATIVE,2026-05-26
Belarus,Wider Europe Briefing: More Russia Sanctions But Will Belarus Potash Restrictions Be Dropped?,Radio Free Europe/ Radio Liberty,2026-05-26 10:02:43+00:00,0.067,0.883,0.051,-0.1901,NEGATIVE,2026-05-26
North Korea,South Korea aims to launch first nuclear-powered submarine by the mid-2030s,CNA,2026-05-26 08:57:15+00:00,0.054,0.946,0.0,-0.4215,NEGATIVE,2026-05-26
North Korea,North Korea fires ballistic missile into Yellow Sea: Seoul,CNA,2026-05-26 07:27:31+00:00,0.0,0.708,0.292,0.8658,POSITIVE,2026-05-26
North Korea,North Korea launches ballistic missile and other weapons over the sea in latest show of force,seattlepi.com,2026-05-26 07:10:16+00:00,0.138,0.839,0.024,-0.802,NEGATIVE,2026-05-26
North Korea,North Korea launches ballistic missiles over the sea in latest show of force,New York Post,2026-05-26 06:37:08+00:00,0.065,0.901,0.034,-0.34,NEGATIVE,2026-05-26
North Korea,"North Korea fires several short-range ballistic missiles toward sea, South says",CBS News,2026-05-26 06:23:58+00:00,0.074,0.888,0.038,-0.34,NEGATIVE,2026-05-26
North Korea,North Korea launches ballistic missiles over the sea in latest show of force,Abcnews.com,2026-05-26 06:09:24+00:00,0.0,0.945,0.055,0.128,POSITIVE,2026-05-26
North Korea,"North Korea fired several missiles, South Korean military says",Japan Today,2026-05-26 05:53:28+00:00,0.132,0.841,0.027,-0.7717,NEGATIVE,2026-05-26
North Korea,North Korea fires ‘unidentified projectile’ into Yellow Sea — Seoul,The Punch,2026-05-26 04:44:25+00:00,0.0,0.955,0.045,0.128,POSITIVE,2026-05-26
North Korea,North Korea launches ballistic missile and other weapons toward the sea,Associated Press,2026-05-26 04:14:28+00:00,0.149,0.825,0.026,-0.802,NEGATIVE,2026-05-26
China,Taiwan overtakes India as world's fifth-largest stock market,The Times of India,2026-05-26 02:27:27+00:00,0.0,0.816,0.184,0.8176,POSITIVE,2026-05-26
China,"Is Beijing the world’s ‘living room’? China is enjoying the global stage, but there are limits to its influence",The Conversation Africa,2026-05-26 01:51:59+00:00,0.0,0.863,0.137,0.7227,POSITIVE,2026-05-26
China,TSMC’s Relentless Rise Powers Taiwan’s Market Value Above India,Financial Post,2026-05-26 00:47:57+00:00,0.0,0.824,0.176,0.6124,POSITIVE,2026-05-26
China,India’s AI options are linked to energy costs,BusinessLine,2026-05-25 15:37:09+00:00,0.0,0.92,0.08,0.2732,POSITIVE,2026-05-25
Belarus,Leaders keep a wary eye on Belarus for any signs it might offer Russia help in Ukraine,Abcnews.com,2026-05-25 12:16:43+00:00,0.074,0.861,0.065,-0.1027,NEGATIVE,2026-05-25
Belarus,"Amid Mounting Tensions Between Kyiv And Minsk, Belarus Opposition Leader Tsikhanouskaya Visits Ukraine",Globalsecurity.org,2026-05-25 12:00:00+00:00,0.066,0.934,0.0,-0.4019,NEGATIVE,2026-05-25
Belarus,Leaders keep a wary eye on Belarus after Russia’s biggest missile attack of the year on Ukraine,seattlepi.com,2026-05-25 10:36:15+00:00,0.103,0.897,0.0,-0.7351,NEGATIVE,2026-05-25
Belarus,"Amid Mounting Tensions Between Kyiv And Minsk, Belarus Opposition Leader Tsikhanouskaya Visits Ukraine",Radio Free Europe/ Radio Liberty,2026-05-25 10:07:07+00:00,0.07,0.93,0.0,-0.4019,NEGATIVE,2026-05-25
North Korea,How Ukraine Put Russia on the Back Foot in Year 5 of the War,New York Magazine,2026-05-25 10:00:08+00:00,0.178,0.822,0.0,-0.8316,NEGATIVE,2026-05-25
China,"China controls a metal that’s key for the Iran war, sending the U.S. on a global hunt for more",NBC News,2026-05-25 07:53:31+00:00,0.122,0.772,0.106,-0.2315,NEGATIVE,2026-05-25
China,"Gold fever in India: How higher import duty sparked a buying rush across jewellery, ETFs and digital gold",Livemint,2026-05-25 07:31:04+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-25
China,Why foreign investors are exiting Nifty giants to hunt in India's small and midcap market,The Times of India,2026-05-25 03:37:18+00:00,0.0,0.794,0.206,0.8807,POSITIVE,2026-05-25
North Korea,Is Donald Trump losing Iran war? ​Strait of Hormuz holds key,The Times of India,2026-05-25 02:23:38+00:00,0.292,0.708,0.0,-0.9186,NEGATIVE,2026-05-25
North Korea,"Three Months In, Is Trump Losing The Iran War?",HuffPost,2026-05-24 22:38:13+00:00,0.192,0.551,0.258,0.4588,POSITIVE,2026-05-24
North Korea,The price tag on Trump’s “Golden Dome” missile shield just jumped to $1.2 trillion in a new congressional analysis — seven times the administration’s number — with a quiet caveat that the system may not actually do what it was pitched to do,Space Daily,2026-05-24 13:15:42+00:00,0.0,0.967,0.033,0.2023,POSITIVE,2026-05-24
North Korea,"Three months in, is USA losing Iran war?",Yahoo Entertainment,2026-05-24 00:04:36+00:00,0.318,0.633,0.049,-0.9418,NEGATIVE,2026-05-24
North Korea,"Three months in, is Trump losing the Iran war?",The Times of India,2026-05-23 05:13:00+00:00,0.188,0.764,0.048,-0.7579,NEGATIVE,2026-05-23
China,Some fear US-Philippines war games are drawing conflict closer to home,Al Jazeera English,2026-05-23 03:19:47+00:00,0.335,0.665,0.0,-0.891,NEGATIVE,2026-05-23
North Korea,"Pyongyang Recalibrates: North Korea Between Russia, the United States, and Japan",The Diplomat,2026-05-22 22:55:00+00:00,0.154,0.732,0.114,-0.25,NEGATIVE,2026-05-22
North Korea,Xi’s Flurry of Post-Trump Diplomacy,Foreign Policy,2026-05-22 16:52:49+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-22
China,Why North Korea Hasn’t Had Its Own ‘Reform and Opening’,The Diplomat,2026-05-22 14:44:00+00:00,0.065,0.935,0.0,-0.2057,NEGATIVE,2026-05-22
China,A Fully Closed-off China Requires a New US Policy Response,The Diplomat,2026-05-22 13:53:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-22
North Korea,What Are Your Plans for Doomsday?,Fair Observer,2026-05-22 13:46:44+00:00,0.043,0.926,0.031,-0.1655,NEGATIVE,2026-05-22
Belarus,"Exclusive: US Asks Lithuania, Poland, Ukraine To Allow Belarusian Fertilizer Exports",Radio Free Europe/ Radio Liberty,2026-05-22 13:03:29+00:00,0.033,0.861,0.106,0.3892,POSITIVE,2026-05-22
Belarus,"Exclusive: US Asks Lithuania, Poland, Ukraine To Allow Belarusian Fertilizer Exports",Globalsecurity.org,2026-05-22 12:00:00+00:00,0.033,0.861,0.106,0.3892,POSITIVE,2026-05-22
China,"Taiwan, Europe should deepen strategic partnership: Foreign minister",Globalsecurity.org,2026-05-22 12:00:00+00:00,0.059,0.941,0.0,-0.4019,NEGATIVE,2026-05-22
China,The aftermath of Trump-Xi summit: comparing U.S. and China announcements,NPR,2026-05-22 11:39:37+00:00,0.108,0.892,0.0,-0.6108,NEGATIVE,2026-05-22
China,"2026 China Fuzhou International Investment Promotion Month and the 28th Cross-Strait Fair for Economy and Trade Held in Fuzhou, Fujian Province",Financial Post,2026-05-22 11:24:36+00:00,0.0,0.927,0.073,0.5574,POSITIVE,2026-05-22
China,"2026 China Fuzhou International Investment Promotion Month and the 28th Cross-Strait Fair for Economy and Trade Held in Fuzhou, Fujian Province",GlobeNewswire,2026-05-22 11:23:00+00:00,0.0,0.892,0.108,0.7096,POSITIVE,2026-05-22
Belarus,What happened to jailed Belarus dissident Raman Pratasevich?,DW (English),2026-05-22 10:41:00+00:00,0.086,0.844,0.07,-0.168,NEGATIVE,2026-05-22
North Korea,Roaming Charges: Peanuts From Heaven,CounterPunch,2026-05-22 06:00:01+00:00,0.038,0.903,0.06,0.296,POSITIVE,2026-05-22
North Korea,Roaming Charges: Peanuts From Heaven,CounterPunch,2026-05-22 06:00:01+00:00,0.038,0.903,0.06,0.296,POSITIVE,2026-05-22
China,"Trump Came to Beijing Hat in Hand, Leaves with a Handshake from Xi",CounterPunch,2026-05-22 05:52:59+00:00,0.0,0.919,0.081,0.5719,POSITIVE,2026-05-22
China,Philip R. Lane: Europe and the world economy,Europa.eu,2026-05-22 01:06:15+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-05-22
China,On/Off the Record: Lessons to learn,Peoplesreview.com.np,2026-05-21 17:23:00+00:00,0.176,0.824,0.0,-0.8224,NEGATIVE,2026-05-21
Belarus,"Attacked By The State And Fractured Within, Belarus Opposition Struggles In Exile",Globalsecurity.org,2026-05-21 11:08:50+00:00,0.139,0.768,0.093,-0.4215,NEGATIVE,2026-05-21
Belarus,"Attacked By The State And Fractured Within, Belarus Opposition Struggles In Exile",Radio Free Europe/ Radio Liberty,2026-05-21 07:10:21+00:00,0.174,0.712,0.114,-0.5574,NEGATIVE,2026-05-21
North Korea,What Prompted Japan and South Korea Leaders to Deepen Cooperation?,Newsonjapan.com,2026-05-21 02:35:30+00:00,0.0,0.838,0.162,0.7579,POSITIVE,2026-05-21
Belarus,Belarus launches joint drills with Russia to practice nuclear weapons use,Abcnews.com,2026-05-18 15:14:00+00:00,0.234,0.766,0.0,-0.7003,NEGATIVE,2026-05-18
Belarus,Belarus authoritarian leader welcomes US evangelist Franklin Graham to hold massive gathering,Abcnews.com,2026-05-15 15:39:04+00:00,0.0,0.879,0.121,0.5859,POSITIVE,2026-05-15
Belarus,"Vladimir Putin And Victory Day: A Scaled-Down Parade, A Diminished President?",Globalsecurity.org,2026-05-07 12:00:00+00:00,0.074,0.892,0.034,-0.4767,NEGATIVE,2026-05-07
